"#Sales/#Orders","#购买数/#下单数"
"Email template sent to account when payment is proceeded","邮件样式（客户）-支付允许"
"Send report email to affiliate account","给推荐人发送定期报告邮件"
"Frequency of sending report email","定期报告邮件发送周期"
"Report email template","定期报告邮件样式"
"Refer Friend Email Template","推荐邮件样式"
"Affiliate Discount","推荐人优惠"
"Date Created","生成日"
"Order Status","下单状态"
"Order Subtotal","下单小计"
"There is no affiliate with email address %s. Please enter a different one.", "没有推荐人账户相关邮箱地址 %s。请填写别的邮箱地址。"
"There is no affiliate account with this email address. Please enter a different one.","没有推荐人账户相关这个邮箱地址。请填写别的邮箱地址。"
"Documents and Help","文件和帮助"
"Affiliate Plus Installation","Affiliate Plus安装"
"Affiliate Plus Installation Guide","Affiliate Plus安装说明书"
"Affiliate Plus Plugin Installation Guide","Affiliate Plus插件的安装说明书"
"Affiliate Plus User Guide","Affiliate Plus说明书"
"Affiliate Plus Standard User Guide","Affiliate Plus Standard说明书"
"Affiliate Plus Payment User Guide","Affiliate Plus支付说明书"
"Advanced Banner Configuration","Advanced Banner设定"
"Enable Advanced Banner Plugin","使用Advanced Banner插件"
"Affiliate Plus Advanced Banner User Guide","Affiliate Plus Advanced Banner说明书"
"Affiliate Plus Commission by Level User Guide","Affiliate Plus Commission by Level说明书"
"Commission by Level Configuration","Commission by Level设定"
"Affiliate Plus Coupon Code User Guide","Affiliate Plus Coupon Code说明书（优惠卷插件）"
"Terms and Conditions","法律声明"
"The higher the atomic number, the higher the priority.","上位的数字反映上位的重要度。"
"Leave blank for not showing Terms and Conditions","如果填写空白，法律声明不会表示"
"If you have not had an affiliate account yet, please choose Signup to create a new account quickly.","如果您还没有推荐人注册，请进行创建账户（注册）。"
"Auto create Affiliate account when Customer registers","自动注册推荐人账户（商城会员注册后自动注册/进行）"
"Used to send emails from system to affiliates. If blank, affiliate system will use general store email address.","通知邮件地址（受到人：客户，发送人：管理者）。如果填写空白的话其本管理者邮箱。"
"Afffiliate URL Parameter","推荐人URL参数"
"Leave blank for default value (acc)","如果填写空白，保存其本设定（acc）"
"Value Type of Afffiliate URL Parameter","推荐人URL参数的种类"
"Unhold Transactions","交易暂停取消"
"Style Configuration","风格设定"
"Responsive Theme","自适应网页设计"
"Enable Responsive Theme","使用自适应网页设计"
"General Style","普通风格"
"Background Color for affiliate's pages","背景颜色-推荐人页面"
"Background Color for titles","背景颜色-Title"
"Text Color for titles","文本颜色-Title"
"Background Color for sub-titles","背景颜色-Sub Title"
"Text Color for sub-titles","文本颜色-Sub Title"
"Background Color for Social Share buttons","背景颜色-SNS分享键"
"Text Color for Social Share buttons","文本颜色-SNS分享键"
"Left Navigation Style","风格-Left Navigation"
"Background Color for inactive tabs","背景颜色-Inactive Tab"
"Background Color for active tabs","背景颜色-Active Tab"
"Text Color for active tabs","文本颜色-Active Tab"
"Font size for tab names","字体大小-Tab Name"
"Popup Style","Popup风格"
"Background Color for body","背景颜色-Body"
"Background Color for title","背景颜色-Title"
"Text Color for title","文本颜色-Title"
"Button Style (on the Affiliate Home page)","Button（键）风格-推荐人首页"
"Background Color for Login button","背景颜色-登录键"
"Background Color for Signup button","背景颜色-注册键"
"Background Color for Contact button","背景颜色-联系我们键"
"Referring Website","推荐网址"
"Email Template Files","邮件样式文件夹"
"Show on My account/ Affiliate Menu", "表示我的有你肯/推荐人计划菜单"
"The email %s belongs to a customer. If it is your email address, you can use it to <a href='%s'>login</a> our system.","已有帐户使用该电子邮件地址。如果您确认这是您自己的电子邮件地址，请<a href='%s'>点击这里</a>进行登录。"
"Referred By","推荐人"
"You are referring by %s","您的推荐人是%s"
"Registered Customers","推荐人登录"
"Login or Create an Account ","推荐人登录或注册"
"* Required Fields","* 必添"
"Forgot Your Password?","忘记密码？"
